UID        USERNAME             GROUPS

65534      nobody               nogroup
1003       user3                user3,usergroup
998        systemd-network      systemd-network
997        systemd-timesync     systemd-timesync
992        systemd-resolve      systemd-resolve
991        polkitd              polkitd
989        fwupd-refresh        fwupd-refresh
109        sshd                 nogroup
108        usbmux               plugdev
107        landscape            landscape
105        tcpdump              tcpdump
104        uuidd                uuidd
103        syslog               syslog,adm
101        messagebus           messagebus
42         _apt                 nogroup
39         irc                  irc
38         list                 list
34         backup               backup
33         www-data             www-data
13         proxy                proxy
10         uucp                 uucp
9          news                 news
8          mail                 mail
7          lp                   lp
6          man                  man
5          games                games
3          sys                  sys
2          bin                  bin
1          daemon               daemon
